Games	Wins	Winning percent
1434	642	0.447699
1435	642	0.447387
1436	642	0.447075
1437	642	0.446764
1438	642	0.446453
1439	642	0.446143
1440	642	0.445833
1441	643	0.446218
1442	644	0.446602
1443	644	0.446292
1444	645	0.446676
1445	645	0.446367
1446	646	0.44675
1447	646	0.446441
1448	646	0.446133
1449	647	0.446515
1450	648	0.446897
1451	649	0.447278
1452	649	0.44697
1453	649	0.446662
1454	650	0.447043
1455	651	0.447423
1456	652	0.447802
1457	653	0.448181
1458	653	0.447874
1459	654	0.448252
1460	655	0.44863
1461	655	0.448323
1462	655	0.448016
1463	656	0.448394
1464	657	0.44877
1465	657	0.448464
1466	657	0.448158
1467	657	0.447853
1468	657	0.447548
1469	657	0.447243
1470	657	0.446939
1471	657	0.446635
1472	657	0.446332
1473	657	0.446029
1474	657	0.445726
1475	657	0.445424
1476	658	0.445799
1477	658	0.445498
1478	659	0.445873
1479	659	0.445571
1480	659	0.44527
1481	660	0.445645
1482	661	0.446019
1483	662	0.446392
1484	662	0.446092
1485	663	0.446465
1486	663	0.446164
1487	664	0.446537
1488	664	0.446237
1489	664	0.445937
1490	664	0.445638
1491	664	0.445339
1492	664	0.44504
1493	664	0.444742
1494	664	0.444444
1495	665	0.444816
1496	665	0.444519
1497	666	0.44489
